Player,Team,Age,Pos,GP,HITS,BS
Jani Hakanpää,CAR,28,D,57,215,83
Connor McDavid,EDM,23,C,56,61,24
Leon Draisaitl,EDM,25,C,56,37,12
Patrick Kane,CHI,32,R,56,13,15
Mark Scheifele,WPG,27,C,56,31,38
David Perron,STL,32,R,56,45,25
Sebastian Aho,CAR,23,C,56,38,25
Jake Guentzel,PIT,26,L,56,43,32
Ryan O'Reilly,STL,29,C,56,24,26
Joe Pavelski,DAL,36,R,56,64,39
Anze Kopitar,LAK,33,C,56,45,37
John Tavares,TOR,30,C,56,51,28
Mika Zibanejad,NYR,27,C,56,75,44
Kyle Connor,WPG,24,L,56,18,18
Evander Kane,SJS,29,L,56,97,22
Ryan Strome,NYR,27,C,56,22,18
Johnny Gaudreau,CGY,27,L,56,8,9
Brock Boeser,VAN,23,R,56,32,20
Tyson Barrie,EDM,29,D,56,26,59
Brayden Point,TBL,24,C,56,23,18
Elias Lindholm,CGY,26,C,56,53,34
Oliver Bjorkstrand,CBJ,25,R,56,42,30
Phil Kessel,ARI,33,R,56,8,9
James van Riemsdyk,PHI,31,L,56,40,16
Matthew Tkachuk,CGY,23,R,56,132,9
Bryan Rust,PIT,28,R,56,62,30
Jakob Chychrun,ARI,22,D,56,59,89
Nicholas Suzuki,MTL,21,C,56,70,38
Quinton Hughes,VAN,21,D,56,18,43
William Karlsson,VGK,27,C,56,29,29
Bo Horvat,VAN,25,C,56,64,38
Dominik Kubalik,CHI,25,L,56,57,17
Brayden Schenn,STL,29,C,56,119,35
Yanni Gourde,TBL,29,C,56,51,21
Darnell Nurse,EDM,25,D,56,117,100
Brady Tkachuk,OTT,21,L,56,248,23
Connor Brown,OTT,26,R,56,22,30
Clayton Keller,ARI,22,L,56,20,14
Joshua Norris,OTT,21,C,56,72,34
Drew Doughty,LAK,31,D,56,91,83
Nino Niederreiter,CAR,28,L,56,68,17
Cam Atkinson,CBJ,31,R,56,22,30
Drake Batherson,OTT,22,R,56,102,29
Brock Nelson,NYI,29,C,56,36,26
Alex Killorn,TBL,31,L,56,59,12
Nazem Kadri,COL,30,C,56,36,19
Victor Olofsson,BUF,25,R,56,17,12
Jordan Greenway,MIN,23,L,56,87,28
Andrew Mangiapane,CGY,24,L,56,51,33
Nick Leddy,NYI,29,D,56,58,54
Christian Dvorak,ARI,24,C,56,48,45
Jack Hughes,NJD,19,C,56,15,15
Joel Eriksson Ek,MIN,23,C,56,105,37
Mikhail Sergachyov,TBL,22,D,56,66,73
Brent Burns,SJS,35,D,56,31,94
Paul Stastny,WPG,35,C,56,38,19
Alexander Wennberg,FLA,26,C,56,29,36
Adrian Kempe,LAK,24,R,56,47,21
Anthony Mantha,WSH,26,L,56,49,27
Seth Jones,CBJ,26,D,56,102,101
Keith Yandle,FLA,34,D,56,18,27
Nils Höglander,VAN,20,L,56,26,19
Mark Giordano,CGY,37,D,56,51,110
Ivan Provorov,PHI,23,D,56,56,106
Nick Ritchie,BOS,25,L,56,102,17
Frank Vatrano,FLA,26,R,56,69,21
Filip Hronek,DET,23,D,56,67,46
Justin Faulk,STL,28,D,56,127,87
Mason Appleton,WPG,24,R,56,61,22
Mattias Janmark-Nylén,VGK,28,L,56,26,14
Milan Lucic,CGY,32,L,56,139,12
